tipo;data;descricao;uf;município;codigo ibge
NACIONAL;01/01/2018;CONFRATERNIZAÇÃO UNIVERSAL;;;
NACIONAL;13/02/2018;CARNAVAL;;;
NACIONAL;30/03/2018;PAIXÃO DE CRISTO;;;
NACIONAL;21/04/2018;TIRADENTES;;;
NACIONAL;01/05/2018;DIA DO TRABALHO;;;
NACIONAL;31/05/2018;CORPUS CHRISTI;;;
NACIONAL;07/09/2018;INDEPENDÊNCIA DO BRASIL;;;
NACIONAL;12/10/2018;DIA DE NOSSA SENHORA APARECIDA;;;
NACIONAL;02/11/2018;FINADOS;;;
NACIONAL;15/11/2018;PROCLAMAÇÃO DA REPÚBLICA;;;
NACIONAL;25/12/2018;NATAL;;;
ESTADUAL;15/06/2018;FERIADO ESTADUAL;AC;;
ESTADUAL;05/09/2018;FERIADO ESTADUAL;AM;;
ESTADUAL;13/09/2018;FERIADO ESTADUAL;AP;;
ESTADUAL;02/07/2018;FERIADO ESTADUAL;BA;;
ESTADUAL;25/03/2018;FERIADO ESTADUAL;CE;;
ESTADUAL;20/11/2018;FERIADO CONSCIÊNCIA NEGRA;MA;;
ESTADUAL;11/10/2018;FERIADO ESTADUAL;MS;;
ESTADUAL;15/08/2018;FERIADO ESTADUAL;PA;;
ESTADUAL;06/03/2018;FERIADO ESTADUAL;PE;;
ESTADUAL;19/10/2018;FERIADO ESTADUAL;PI;;
ESTADUAL;03/10/2018;FERIADO ESTADUAL;RN;;
ESTADUAL;02/01/2018;FERIADO ESTADUAL;RO;;
ESTADUAL;05/10/2018;FERIADO ESTADUAL;RR;;
ESTADUAL;20/09/2018;FERIADO ESTADUAL;RS;;
ESTADUAL;08/07/2018;FERIADO ESTADUAL;SE;;
ESTADUAL;09/07/2018;REVOLUÇÃO DE 1932;SP;;
ESTADUAL;05/10/2018;FERIADO ESTADUAL;TO;;
MUNICIPAL;15/08/2018;FERIADO RELIGIOSO;AC;CRUZEIRO DO SUL;1200203
MUNICIPAL;27/06/2018;FERIADO RELIGIOSO;AC;FEIJO;1200302
MUNICIPAL;08/12/2018;FERIADO RELIGIOSO;AC;SENA MADUREIRA;1200500
MUNICIPAL;04/10/2018;FERIADO RELIGIOSO;AC;TARAUACA;1200609
MUNICIPAL;02/02/2018;FERIADO RELIGIOSO;AL;ARAPIRACA;2700300
MUNICIPAL;08/12/2018;FERIADO MUNICIPAL;AL;ARAPIRACA;2700300
MUNICIPAL;22/05/2018;FERIADO RELIGIOSO;AL;BOCA DA MATA;2701001
MUNICIPAL;20/07/2018;FERIADO RELIGIOSO;AL;BOCA DA MATA;2701001
MUNICIPAL;02/02/2018;FERIADO RELIGIOSO;AL;CAJUEIRO;2701308
MUNICIPAL;23/06/2018;FERIADO RELIGIOSO;AL;CORURIPE;2702306
MUNICIPAL;08/12/2018;FERIADO RELIGIOSO;AL;CORURIPE;2702306
MUNICIPAL;24/06/2018;FERIADO RELIGIOSO;AL;DELMIRO GOUVEIA;2702405
MUNICIPAL;24/06/2018;FERIADO RELIGIOSO;AL;IGREJA NOVA;2703205
MUNICIPAL;08/12/2018;FERIADO RELIGIOSO;AL;IGREJA NOVA;2703205
MUNICIPAL;20/01/2018;FERIADO RELIGIOSO;AL;LIMOEIRO DE ANADIA;2704203
MUNICIPAL;29/06/2018;FERIADO RELIGIOSO;AL;LIMOEIRO DE ANADIA;2704203
MUNICIPAL;08/12/2018;FERIADO RELIGIOSO;AL;LIMOEIRO DE ANADIA;2704203
MUNICIPAL;27/08/2018;FERIADO RELIGIOSO;AL;MACEIO;2704302
MUNICIPAL;08/12/2018;FERIADO RELIGIOSO;AL;MACEIO;2704302
MUNICIPAL;15/01/2018;FERIADO RELIGIOSO;AL;MARIBONDO;2704807
MUNICIPAL;24/06/2018;FERIADO RELIGIOSO;AL;MARIBONDO;2704807
MUNICIPAL;08/12/2018;FERIADO RELIGIOSO;AL;MARIBONDO;2704807
MUNICIPAL;13/06/2018;FERIADO RELIGIOSO;AL;OURO BRANCO;2706109
MUNICIPAL;29/06/2018;FERIADO RELIGIOSO;AL;OURO BRANCO;2706109
MUNICIPAL;08/12/2018;FERIADO RELIGIOSO;AL;OURO BRANCO;2706109
MUNICIPAL;08/12/2018;FERIADO RELIGIOSO;AL;PALMEIRA DOS INDIOS;2706307
MUNICIPAL;15/01/2018;FERIADO RELIGIOSO;AL;PAO DE ACUCAR;2706406
MUNICIPAL;08/06/2018;FERIADO RELIGIOSO;AL;PAO DE ACUCAR;2706406
MUNICIPAL;08/12/2018;FERIADO RELIGIOSO;AL;PAO DE ACUCAR;2706406
MUNICIPAL;07/10/2018;FERIADO RELIGIOSO;AL;PENEDO;2706703
MUNICIPAL;08/12/2018;FERIADO RELIGIOSO;AL;PENEDO;2706703
MUNICIPAL;02/02/2018;FERIADO RELIGIOSO;AL;PILAR;2706901
MUNICIPAL;08/12/2018;FERIADO RELIGIOSO;AL;PILAR;2706901
MUNICIPAL;02/02/2018;FERIADO RELIGIOSO;AL;PIRANHAS;2707107
MUNICIPAL;20/01/2018;FERIADO RELIGIOSO;AL;PORTO CALVO;2707305
MUNICIPAL;21/11/2018;FERIADO RELIGIOSO;AL;PORTO CALVO;2707305
MUNICIPAL;29/03/2018;FERIADO MUNICIPAL;AL;RIO LARGO;2707701
MUNICIPAL;08/12/2018;FERIADO RELIGIOSO;AL;RIO LARGO;2707701
MUNICIPAL;26/07/2018;FERIADO RELIGIOSO;AL;SANTANA DO IPANEMA;2708006
MUNICIPAL;24/06/2018;FERIADO RELIGIOSO;AL;SAO MIGUEL DOS CAMPOS;2708600
MUNICIPAL;18/12/2018;FERIADO RELIGIOSO;AL;SAO MIGUEL DOS CAMPOS;2708600
MUNICIPAL;20/01/2018;FERIADO RELIGIOSO;AL;SAO SEBASTIAO;2708808
MUNICIPAL;08/09/2018;FERIADO RELIGIOSO;AL;SAO SEBASTIAO;2708808
MUNICIPAL;08/12/2018;FERIADO RELIGIOSO;AL;SAO SEBASTIAO;2708808
MUNICIPAL;02/02/2018;FERIADO RELIGIOSO;AL;UNIAO DOS PALMARES;2709301
MUNICIPAL;22/07/2018;FERIADO RELIGIOSO;AL;UNIAO DOS PALMARES;2709301
MUNICIPAL;08/12/2018;FERIADO RELIGIOSO;AL;UNIAO DOS PALMARES;2709301
MUNICIPAL;02/02/2018;FERIADO RELIGIOSO;AL;VICOSA;2709400
MUNICIPAL;13/06/2018;FERIADO RELIGIOSO;AM;SANTO ANTONIO DO ICA;1303700
MUNICIPAL;15/10/2018;FERIADO RELIGIOSO;AM;TEFE;1304203
MUNICIPAL;08/12/2018;FERIADO RELIGIOSO;AP;AMAPA;1600105
MUNICIPAL;13/06/2018;FERIADO RELIGIOSO;AP;LARANJAL DO JARI;1600279
MUNICIPAL;04/02/2018;FERIADO MUNICIPAL;AP;MACAPA;1600303
MUNICIPAL;19/03/2018;FERIADO MUNICIPAL;AP;MACAPA;1600303
MUNICIPAL;23/05/2018;FERIADO MUNICIPAL;AP;OIAPOQUE;1600501
MUNICIPAL;15/08/2018;FERIADO RELIGIOSO;AP;OIAPOQUE;1600501
MUNICIPAL;26/07/2018;FERIADO RELIGIOSO;AP;SANTANA;1600600
MUNICIPAL;26/04/2018;FERIADO RELIGIOSO;BA;AMARGOSA;2901007
MUNICIPAL;24/06/2018;FERIADO RELIGIOSO;BA;ANAGE;2901205
MUNICIPAL;24/06/2018;FERIADO RELIGIOSO;BA;BARRA;2902708
MUNICIPAL;04/10/2018;FERIADO RELIGIOSO;BA;BARRA;2902708
MUNICIPAL;24/06/2018;FERIADO RELIGIOSO;BA;BARRA DA ESTIVA;2902807
MUNICIPAL;06/08/2018;FERIADO RELIGIOSO;BA;BARRA DA ESTIVA;2902807
MUNICIPAL;20/01/2018;FERIADO RELIGIOSO;BA;BELMONTE;2903409
MUNICIPAL;16/07/2018;FERIADO RELIGIOSO;BA;BELMONTE;2903409
MUNICIPAL;06/08/2018;FERIADO RELIGIOSO;BA;BOM JESUS DA LAPA;2903904
MUNICIPAL;15/09/2018;FERIADO RELIGIOSO;BA;BOM JESUS DA LAPA;2903904
MUNICIPAL;24/06/2018;FERIADO RELIGIOSO;BA;BOQUIRA;2904100
MUNICIPAL;20/01/2018;FERIADO RELIGIOSO;BA;BRUMADO;2904605
MUNICIPAL;24/06/2018;FERIADO RELIGIOSO;BA;BRUMADO;2904605
MUNICIPAL;06/08/2018;FERIADO RELIGIOSO;BA;BRUMADO;2904605
MUNICIPAL;24/06/2018;FERIADO RELIGIOSO;BA;CACULE;2905008
MUNICIPAL;08/09/2018;FERIADO RELIGIOSO;BA;CACULE;2905008
MUNICIPAL;24/06/2018;FERIADO RELIGIOSO;BA;CAETITE;2905206
MUNICIPAL;26/07/2018;FERIADO RELIGIOSO;BA;CAETITE;2905206
MUNICIPAL;20/01/2018;FERIADO RELIGIOSO;BA;CAMACAN;2905602
MUNICIPAL;15/08/2018;FERIADO RELIGIOSO;BA;CAMAMU;2905800
MUNICIPAL;31/12/2018;FERIADO RELIGIOSO;BA;CAMAMU;2905800
MUNICIPAL;20/01/2018;FERIADO RELIGIOSO;BA;CANAVIEIRAS;2906303
MUNICIPAL;14/07/2018;FERIADO RELIGIOSO;BA;CANAVIEIRAS;2906303
MUNICIPAL;27/11/2018;FERIADO RELIGIOSO;BA;CANDIDO SALES;2906709
MUNICIPAL;26/07/2018;FERIADO RELIGIOSO;BA;CANSANCAO;2906808
MUNICIPAL;25/07/2018;FERIADO RELIGIOSO;BA;CAPIM GROSSO;2906873
MUNICIPAL;13/06/2018;FERIADO RELIGIOSO;BA;CARAVELAS;2906907
MUNICIPAL;24/06/2018;FERIADO RELIGIOSO;BA;CARINHANHA;2907103
MUNICIPAL;08/12/2018;FERIADO RELIGIOSO;BA;CASTRO ALVES;2907301
MUNICIPAL;24/06/2018;FERIADO RELIGIOSO;BA;CICERO DANTAS;2907806
MUNICIPAL;15/08/2018;FERIADO RELIGIOSO;BA;CICERO DANTAS;2907806
MUNICIPAL;11/02/2018;FERIADO RELIGIOSO;BA;COARACI;2908002
MUNICIPAL;24/06/2018;FERIADO RELIGIOSO;BA;CONCEICAO DO COITE;2908408
MUNICIPAL;08/12/2018;FERIADO RELIGIOSO;BA;CONCEICAO DO COITE;2908408
MUNICIPAL;13/06/2018;FERIADO RELIGIOSO;BA;CONDEUBA;2908705
MUNICIPAL;06/08/2018;FERIADO RELIGIOSO;BA;CONDEUBA;2908705
MUNICIPAL;22/06/2018;FERIADO RELIGIOSO;BA;CORIBE;2909109
MUNICIPAL;25/06/2018;FERIADO RELIGIOSO;BA;CORIBE;2909109
MUNICIPAL;15/09/2018;FERIADO RELIGIOSO;BA;CRUZ DAS ALMAS;2909802
MUNICIPAL;24/06/2018;FERIADO RELIGIOSO;BA;EUCLIDES DA CUNHA;2910701
MUNICIPAL;08/12/2018;FERIADO RELIGIOSO;BA;EUCLIDES DA CUNHA;2910701
MUNICIPAL;24/05/2018;FERIADO RELIGIOSO;BA;EUNAPOLIS;2910727
MUNICIPAL;24/06/2018;FERIADO RELIGIOSO;BA;FEIRA DE SANTANA;2910800
MUNICIPAL;26/07/2018;FERIADO RELIGIOSO;BA;FEIRA DE SANTANA;2910800
MUNICIPAL;19/03/2018;FERIADO RELIGIOSO;BA;GANDU;2911204
MUNICIPAL;16/08/2018;FERIADO RELIGIOSO;BA;GANDU;2911204
MUNICIPAL;13/06/2018;FERIADO RELIGIOSO;BA;GUANAMBI;2911709
MUNICIPAL;13/12/2018;FERIADO RELIGIOSO;BA;IACU;2911907
MUNICIPAL;02/02/2018;FERIADO RELIGIOSO;BA;IBICARAI;2912103
MUNICIPAL;19/03/2018;FERIADO RELIGIOSO;BA;IBIRATAIA;2912905
MUNICIPAL;24/06/2018;FERIADO MUNICIPAL;BA;IBIRATAIA;2912905
MUNICIPAL;23/04/2018;FERIADO RELIGIOSO;BA;ILHEUS;2913606
MUNICIPAL;15/08/2018;FERIADO RELIGIOSO;BA;ILHEUS;2913606
MUNICIPAL;16/08/2018;FERIADO RELIGIOSO;BA;IPIAU;2913903
MUNICIPAL;24/06/2018;FERIADO RELIGIOSO;BA;IPIRA;2914000
MUNICIPAL;26/07/2018;FERIADO RELIGIOSO;BA;IPIRA;2914000
MUNICIPAL;24/06/2018;FERIADO RELIGIOSO;BA;IRAQUARA;2914406
MUNICIPAL;08/09/2018;FERIADO RELIGIOSO;BA;IRAQUARA;2914406
MUNICIPAL;02/02/2018;FERIADO RELIGIOSO;BA;IRARA;2914505
MUNICIPAL;24/06/2018;FERIADO RELIGIOSO;BA;IRARA;2914505
MUNICIPAL;24/06/2018;FERIADO RELIGIOSO;BA;ITABELA;2914653
MUNICIPAL;18/05/2018;FERIADO MUNICIPAL;BA;ITABERABA;2914703
MUNICIPAL;24/06/2018;FERIADO RELIGIOSO;BA;ITABERABA;2914703
MUNICIPAL;19/03/2018;FERIADO RELIGIOSO;BA;ITABUNA;2914802
MUNICIPAL;24/06/2018;FERIADO MUNICIPAL;BA;ITABUNA;2914802
MUNICIPAL;26/09/2018;FERIADO RELIGIOSO;BA;ITAMARAJU;2915601
MUNICIPAL;20/01/2018;FERIADO RELIGIOSO;BA;ITAMBE;2915809
MUNICIPAL;24/06/2018;FERIADO MUNICIPAL;BA;ITANHEM;2916005
MUNICIPAL;15/08/2018;FERIADO RELIGIOSO;BA;ITANHEM;2916005
MUNICIPAL;19/03/2018;FERIADO RELIGIOSO;BA;ITAPETINGA;2916401
MUNICIPAL;13/06/2018;FERIADO RELIGIOSO;BA;ITIRUCU;2916906
MUNICIPAL;24/06/2018;FERIADO RELIGIOSO;BA;ITIRUCU;2916906
MUNICIPAL;13/06/2018;FERIADO RELIGIOSO;BA;ITORORO;2917102
MUNICIPAL;30/11/2018;FERIADO RELIGIOSO;BA;ITUBERA;2917300
MUNICIPAL;08/12/2018;FERIADO RELIGIOSO;BA;ITUBERA;2917300
MUNICIPAL;13/06/2018;FERIADO RELIGIOSO;BA;JACOBINA;2917508
MUNICIPAL;24/06/2018;FERIADO RELIGIOSO;BA;JACOBINA;2917508
MUNICIPAL;08/12/2018;FERIADO RELIGIOSO;BA;JACOBINA;2917508
MUNICIPAL;24/06/2018;FERIADO RELIGIOSO;BA;JAGUARARI;2917706
